location,timestamp,parameter,units,value
USDiplomaticPost:NewDelhi-8118,2025-01-02T22:30:00.000-05:00,pm25,µg/m³,180.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T06:30:00.000-05:00,pm25,µg/m³,208.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T04:30:00.000-05:00,pm25,µg/m³,174.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T12:30:00.000-05:00,pm25,µg/m³,184.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T19:30:00.000-05:00,pm25,µg/m³,153.0
USDiplomaticPost:NewDelhi-8118,2025-02-03T03:30:00.000-05:00,pm25,µg/m³,55.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T05:30:00.000-05:00,pm25,µg/m³,167.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T13:30:00.000-05:00,pm25,µg/m³,165.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T20:30:00.000-05:00,pm25,µg/m³,143.0
USDiplomaticPost:NewDelhi-8118,2025-02-03T04:30:00.000-05:00,pm25,µg/m³,53.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T07:30:00.000-05:00,pm25,µg/m³,172.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T14:30:00.000-05:00,pm25,µg/m³,153.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T22:30:00.000-05:00,pm25,µg/m³,120.0
USDiplomaticPost:NewDelhi-8118,2025-02-03T06:30:00.000-05:00,pm25,µg/m³,74.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T08:30:00.000-05:00,pm25,µg/m³,163.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T15:30:00.000-05:00,pm25,µg/m³,146.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T23:30:00.000-05:00,pm25,µg/m³,192.0
USDiplomaticPost:NewDelhi-8118,2025-02-03T07:30:00.000-05:00,pm25,µg/m³,70.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T18:30:00.000-05:00,pm25,µg/m³,180.0
USDiplomaticPost:NewDelhi-8118,2025-01-04T02:30:00.000-05:00,pm25,µg/m³,442.0
USDiplomaticPost:NewDelhi-8118,2025-01-04T10:30:00.000-05:00,pm25,µg/m³,313.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T19:30:00.000-05:00,pm25,µg/m³,190.0
USDiplomaticPost:NewDelhi-8118,2025-01-04T03:30:00.000-05:00,pm25,µg/m³,400.0
USDiplomaticPost:NewDelhi-8118,2025-01-04T11:30:00.000-05:00,pm25,µg/m³,323.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T09:30:00.000-05:00,pm25,µg/m³,169.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T16:30:00.000-05:00,pm25,µg/m³,138.0
USDiplomaticPost:NewDelhi-8118,2025-02-03T00:30:00.000-05:00,pm25,µg/m³,136.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T11:30:00.000-05:00,pm25,µg/m³,195.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T18:30:00.000-05:00,pm25,µg/m³,158.0
USDiplomaticPost:NewDelhi-8118,2025-02-03T02:30:00.000-05:00,pm25,µg/m³,100.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T06:30:00.000-05:00,pm25,µg/m³,173.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T21:30:00.000-05:00,pm25,µg/m³,125.0
USDiplomaticPost:NewDelhi-8118,2025-02-03T05:30:00.000-05:00,pm25,µg/m³,50.0
USDiplomaticPost:NewDelhi-8118,2025-02-05T04:30:00.000-05:00,pm25,µg/m³,48.0
USDiplomaticPost:NewDelhi-8118,2025-02-05T12:30:00.000-05:00,pm25,µg/m³,156.0
USDiplomaticPost:NewDelhi-8118,2025-02-05T19:30:00.000-05:00,pm25,µg/m³,128.0
USDiplomaticPost:NewDelhi-8118,2025-02-05T05:30:00.000-05:00,pm25,µg/m³,43.0
USDiplomaticPost:NewDelhi-8118,2025-02-05T13:30:00.000-05:00,pm25,µg/m³,153.0
USDiplomaticPost:NewDelhi-8118,2025-02-05T20:30:00.000-05:00,pm25,µg/m³,118.0
USDiplomaticPost:NewDelhi-8118,2025-02-10T02:30:00.000-05:00,pm25,µg/m³,63.0
USDiplomaticPost:NewDelhi-8118,2025-02-10T10:30:00.000-05:00,pm25,µg/m³,111.0
USDiplomaticPost:NewDelhi-8118,2025-02-10T17:30:00.000-05:00,pm25,µg/m³,137.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T10:30:00.000-05:00,pm25,µg/m³,174.0
USDiplomaticPost:NewDelhi-8118,2025-02-02T17:30:00.000-05:00,pm25,µg/m³,153.0
USDiplomaticPost:NewDelhi-8118,2025-02-03T01:30:00.000-05:00,pm25,µg/m³,8.0
NewDelhi-8118,2025-04-16T12:30:00.000-04:00,pm25,µg/m³,74.0
NewDelhi-8118,2025-04-16T19:30:00.000-04:00,pm25,µg/m³,121.0
NewDelhi-8118,2025-04-17T03:30:00.000-04:00,pm25,µg/m³,58.0
NewDelhi-8118,2025-04-12T10:30:00.000-04:00,pm25,µg/m³,54.0
NewDelhi-8118,2025-04-12T17:30:00.000-04:00,pm25,µg/m³,36.0
NewDelhi-8118,2025-04-13T01:30:00.000-04:00,pm25,µg/m³,59.0
NewDelhi-8118,2025-04-12T11:30:00.000-04:00,pm25,µg/m³,56.0
NewDelhi-8118,2025-04-12T18:30:00.000-04:00,pm25,µg/m³,38.0
NewDelhi-8118,2025-04-13T02:30:00.000-04:00,pm25,µg/m³,60.0
NewDelhi-8118,2025-04-12T12:30:00.000-04:00,pm25,µg/m³,67.0
NewDelhi-8118,2025-04-12T19:30:00.000-04:00,pm25,µg/m³,41.0
NewDelhi-8118,2025-04-13T03:30:00.000-04:00,pm25,µg/m³,39.0
NewDelhi-8118,2025-04-12T13:30:00.000-04:00,pm25,µg/m³,44.0
NewDelhi-8118,2025-04-12T20:30:00.000-04:00,pm25,µg/m³,44.0
NewDelhi-8118,2025-04-13T04:30:00.000-04:00,pm25,µg/m³,57.0
NewDelhi-8118,2025-04-15T16:30:00.000-04:00,pm25,µg/m³,68.0
NewDelhi-8118,2025-04-16T00:30:00.000-04:00,pm25,µg/m³,75.0
NewDelhi-8118,2025-04-16T08:30:00.000-04:00,pm25,µg/m³,65.0
NewDelhi-8118,2025-04-16T09:30:00.000-04:00,pm25,µg/m³,66.0
NewDelhi-8118,2025-04-16T16:30:00.000-04:00,pm25,µg/m³,76.0
NewDelhi-8118,2025-04-17T00:30:00.000-04:00,pm25,µg/m³,61.0
NewDelhi-8118,2025-04-16T10:30:00.000-04:00,pm25,µg/m³,73.0
NewDelhi-8118,2025-04-16T17:30:00.000-04:00,pm25,µg/m³,71.0
NewDelhi-8118,2025-04-17T01:30:00.000-04:00,pm25,µg/m³,65.0
NewDelhi-8118,2025-04-16T11:30:00.000-04:00,pm25,µg/m³,77.0
NewDelhi-8118,2025-04-16T18:30:00.000-04:00,pm25,µg/m³,72.0
NewDelhi-8118,2025-04-17T02:30:00.000-04:00,pm25,µg/m³,54.0
NewDelhi-8118,2025-04-16T13:30:00.000-04:00,pm25,µg/m³,69.0
NewDelhi-8118,2025-04-16T20:30:00.000-04:00,pm25,µg/m³,69.0
NewDelhi-8118,2025-04-17T04:30:00.000-04:00,pm25,µg/m³,46.0
NewDelhi-8118,2025-04-16T14:30:00.000-04:00,pm25,µg/m³,70.0
NewDelhi-8118,2025-04-16T21:30:00.000-04:00,pm25,µg/m³,60.0
NewDelhi-8118,2025-04-17T05:30:00.000-04:00,pm25,µg/m³,47.0
USDiplomaticPost:NewDelhi-8118,2025-01-10T01:30:00.000-05:00,pm25,µg/m³,220.0
USDiplomaticPost:NewDelhi-8118,2025-01-30T12:30:00.000-05:00,pm25,µg/m³,186.0
USDiplomaticPost:NewDelhi-8118,2025-01-30T13:30:00.000-05:00,pm25,µg/m³,198.0
USDiplomaticPost:NewDelhi-8118,2025-02-01T10:30:00.000-05:00,pm25,µg/m³,242.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T20:30:00.000-05:00,pm25,µg/m³,179.0
USDiplomaticPost:NewDelhi-8118,2025-01-04T04:30:00.000-05:00,pm25,µg/m³,370.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T21:30:00.000-05:00,pm25,µg/m³,167.0
USDiplomaticPost:NewDelhi-8118,2025-01-04T05:30:00.000-05:00,pm25,µg/m³,352.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T22:30:00.000-05:00,pm25,µg/m³,169.0
USDiplomaticPost:NewDelhi-8118,2025-01-04T06:30:00.000-05:00,pm25,µg/m³,301.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T23:30:00.000-05:00,pm25,µg/m³,225.0
USDiplomaticPost:NewDelhi-8118,2025-01-04T07:30:00.000-05:00,pm25,µg/m³,288.0
USDiplomaticPost:NewDelhi-8118,2025-01-04T00:30:00.000-05:00,pm25,µg/m³,334.0
USDiplomaticPost:NewDelhi-8118,2025-01-04T08:30:00.000-05:00,pm25,µg/m³,278.0
USDiplomaticPost:NewDelhi-8118,2025-01-04T01:30:00.000-05:00,pm25,µg/m³,416.0
USDiplomaticPost:NewDelhi-8118,2025-01-04T09:30:00.000-05:00,pm25,µg/m³,283.0
USDiplomaticPost:NewDelhi-8118,2025-01-08T01:30:00.000-05:00,pm25,µg/m³,99.0
USDiplomaticPost:NewDelhi-8118,2025-01-08T02:30:00.000-05:00,pm25,µg/m³,80.0
USDiplomaticPost:NewDelhi-8118,2025-01-08T03:30:00.000-05:00,pm25,µg/m³,81.0
USDiplomaticPost:NewDelhi-8118,2025-01-08T15:30:00.000-05:00,pm25,µg/m³,234.0
USDiplomaticPost:NewDelhi-8118,2025-01-08T23:30:00.000-05:00,pm25,µg/m³,183.0
USDiplomaticPost:NewDelhi-8118,2025-01-08T16:30:00.000-05:00,pm25,µg/m³,200.0
USDiplomaticPost:NewDelhi-8118,2025-01-09T00:30:00.000-05:00,pm25,µg/m³,161.0
USDiplomaticPost:NewDelhi-8118,2025-01-08T17:30:00.000-05:00,pm25,µg/m³,191.0
USDiplomaticPost:NewDelhi-8118,2025-01-09T01:30:00.000-05:00,pm25,µg/m³,180.0
USDiplomaticPost:NewDelhi-8118,2025-01-08T18:30:00.000-05:00,pm25,µg/m³,176.0
USDiplomaticPost:NewDelhi-8118,2025-01-09T02:30:00.000-05:00,pm25,µg/m³,173.0
USDiplomaticPost:NewDelhi-8118,2025-01-08T19:30:00.000-05:00,pm25,µg/m³,176.0
USDiplomaticPost:NewDelhi-8118,2025-01-09T03:30:00.000-05:00,pm25,µg/m³,427.0
USDiplomaticPost:NewDelhi-8118,2025-01-08T20:30:00.000-05:00,pm25,µg/m³,160.0
USDiplomaticPost:NewDelhi-8118,2025-01-09T04:30:00.000-05:00,pm25,µg/m³,369.0
USDiplomaticPost:NewDelhi-8118,2025-01-09T05:30:00.000-05:00,pm25,µg/m³,323.0
USDiplomaticPost:NewDelhi-8118,2025-01-09T13:30:00.000-05:00,pm25,µg/m³,347.0
USDiplomaticPost:NewDelhi-8118,2025-01-09T14:30:00.000-05:00,pm25,µg/m³,351.0
USDiplomaticPost:NewDelhi-8118,2025-01-09T22:30:00.000-05:00,pm25,µg/m³,198.0
USDiplomaticPost:NewDelhi-8118,2025-01-09T15:30:00.000-05:00,pm25,µg/m³,359.0
USDiplomaticPost:NewDelhi-8118,2025-01-09T23:30:00.000-05:00,pm25,µg/m³,207.0
USDiplomaticPost:NewDelhi-8118,2025-01-09T16:30:00.000-05:00,pm25,µg/m³,373.0
USDiplomaticPost:NewDelhi-8118,2025-01-10T00:30:00.000-05:00,pm25,µg/m³,248.0
USDiplomaticPost:NewDelhi-8118,2025-01-10T02:30:00.000-05:00,pm25,µg/m³,222.0
USDiplomaticPost:NewDelhi-8118,2025-01-10T10:30:00.000-05:00,pm25,µg/m³,283.0
USDiplomaticPost:NewDelhi-8118,2025-01-10T03:30:00.000-05:00,pm25,µg/m³,207.0
USDiplomaticPost:NewDelhi-8118,2025-01-10T11:30:00.000-05:00,pm25,µg/m³,273.0
USDiplomaticPost:NewDelhi-8118,2025-01-10T12:30:00.000-05:00,pm25,µg/m³,290.0
USDiplomaticPost:NewDelhi-8118,2025-01-10T19:30:00.000-05:00,pm25,µg/m³,138.0
USDiplomaticPost:NewDelhi-8118,2025-01-10T13:30:00.000-05:00,pm25,µg/m³,281.0
USDiplomaticPost:NewDelhi-8118,2025-01-10T20:30:00.000-05:00,pm25,µg/m³,128.0
USDiplomaticPost:NewDelhi-8118,2025-01-10T14:30:00.000-05:00,pm25,µg/m³,243.0
USDiplomaticPost:NewDelhi-8118,2025-01-10T22:30:00.000-05:00,pm25,µg/m³,143.0
USDiplomaticPost:NewDelhi-8118,2025-01-10T15:30:00.000-05:00,pm25,µg/m³,188.0
USDiplomaticPost:NewDelhi-8118,2025-01-10T23:30:00.000-05:00,pm25,µg/m³,157.0
USDiplomaticPost:NewDelhi-8118,2025-01-11T00:30:00.000-05:00,pm25,µg/m³,183.0
USDiplomaticPost:NewDelhi-8118,2025-01-11T08:30:00.000-05:00,pm25,µg/m³,164.0
USDiplomaticPost:NewDelhi-8118,2025-01-11T01:30:00.000-05:00,pm25,µg/m³,174.0
USDiplomaticPost:NewDelhi-8118,2025-01-11T09:30:00.000-05:00,pm25,µg/m³,134.0
USDiplomaticPost:NewDelhi-8118,2025-01-11T02:30:00.000-05:00,pm25,µg/m³,187.0
USDiplomaticPost:NewDelhi-8118,2025-01-11T10:30:00.000-05:00,pm25,µg/m³,135.0
USDiplomaticPost:NewDelhi-8118,2025-01-11T11:30:00.000-05:00,pm25,µg/m³,127.0
USDiplomaticPost:NewDelhi-8118,2025-01-11T18:30:00.000-05:00,pm25,µg/m³,159.0
USDiplomaticPost:NewDelhi-8118,2025-01-11T12:30:00.000-05:00,pm25,µg/m³,126.0
USDiplomaticPost:NewDelhi-8118,2025-01-11T19:30:00.000-05:00,pm25,µg/m³,173.0
USDiplomaticPost:NewDelhi-8118,2025-01-11T20:30:00.000-05:00,pm25,µg/m³,152.0
USDiplomaticPost:NewDelhi-8118,2025-01-12T04:30:00.000-05:00,pm25,µg/m³,146.0
USDiplomaticPost:NewDelhi-8118,2025-01-11T21:30:00.000-05:00,pm25,µg/m³,127.0
USDiplomaticPost:NewDelhi-8118,2025-01-12T05:30:00.000-05:00,pm25,µg/m³,150.0
USDiplomaticPost:NewDelhi-8118,2025-01-11T22:30:00.000-05:00,pm25,µg/m³,129.0
USDiplomaticPost:NewDelhi-8118,2025-01-12T06:30:00.000-05:00,pm25,µg/m³,149.0
USDiplomaticPost:NewDelhi-8118,2025-01-11T23:30:00.000-05:00,pm25,µg/m³,137.0
USDiplomaticPost:NewDelhi-8118,2025-01-12T07:30:00.000-05:00,pm25,µg/m³,138.0
USDiplomaticPost:NewDelhi-8118,2025-01-12T00:30:00.000-05:00,pm25,µg/m³,151.0
USDiplomaticPost:NewDelhi-8118,2025-01-12T08:30:00.000-05:00,pm25,µg/m³,145.0
USDiplomaticPost:NewDelhi-8118,2025-01-13T19:30:00.000-05:00,pm25,µg/m³,131.0
USDiplomaticPost:NewDelhi-8118,2025-01-14T03:30:00.000-05:00,pm25,µg/m³,140.0
USDiplomaticPost:NewDelhi-8118,2025-01-13T20:30:00.000-05:00,pm25,µg/m³,124.0
USDiplomaticPost:NewDelhi-8118,2025-01-14T04:30:00.000-05:00,pm25,µg/m³,148.0
USDiplomaticPost:NewDelhi-8118,2025-01-13T21:30:00.000-05:00,pm25,µg/m³,136.0
USDiplomaticPost:NewDelhi-8118,2025-01-14T05:30:00.000-05:00,pm25,µg/m³,140.0
USDiplomaticPost:NewDelhi-8118,2025-01-14T07:30:00.000-05:00,pm25,µg/m³,150.0
USDiplomaticPost:NewDelhi-8118,2025-01-14T14:30:00.000-05:00,pm25,µg/m³,299.0
USDiplomaticPost:NewDelhi-8118,2025-01-14T08:30:00.000-05:00,pm25,µg/m³,165.0
USDiplomaticPost:NewDelhi-8118,2025-01-14T15:30:00.000-05:00,pm25,µg/m³,301.0
USDiplomaticPost:NewDelhi-8118,2025-01-14T16:30:00.000-05:00,pm25,µg/m³,381.0
USDiplomaticPost:NewDelhi-8118,2025-01-15T00:30:00.000-05:00,pm25,µg/m³,301.0
USDiplomaticPost:NewDelhi-8118,2025-01-14T17:30:00.000-05:00,pm25,µg/m³,362.0
USDiplomaticPost:NewDelhi-8118,2025-01-15T01:30:00.000-05:00,pm25,µg/m³,321.0
USDiplomaticPost:NewDelhi-8118,2025-01-14T18:30:00.000-05:00,pm25,µg/m³,332.0
USDiplomaticPost:NewDelhi-8118,2025-01-15T02:30:00.000-05:00,pm25,µg/m³,318.0
USDiplomaticPost:NewDelhi-8118,2025-01-14T19:30:00.000-05:00,pm25,µg/m³,306.0
USDiplomaticPost:NewDelhi-8118,2025-01-15T03:30:00.000-05:00,pm25,µg/m³,279.0
USDiplomaticPost:NewDelhi-8118,2025-01-14T20:30:00.000-05:00,pm25,µg/m³,292.0
USDiplomaticPost:NewDelhi-8118,2025-01-15T04:30:00.000-05:00,pm25,µg/m³,233.0
USDiplomaticPost:NewDelhi-8118,2025-01-15T05:30:00.000-05:00,pm25,µg/m³,202.0
USDiplomaticPost:NewDelhi-8118,2025-01-15T13:30:00.000-05:00,pm25,µg/m³,156.0
USDiplomaticPost:NewDelhi-8118,2025-01-15T14:30:00.000-05:00,pm25,µg/m³,158.0
USDiplomaticPost:NewDelhi-8118,2025-01-15T22:30:00.000-05:00,pm25,µg/m³,115.0
USDiplomaticPost:NewDelhi-8118,2025-01-15T15:30:00.000-05:00,pm25,µg/m³,151.0
USDiplomaticPost:NewDelhi-8118,2025-01-15T23:30:00.000-05:00,pm25,µg/m³,147.0
USDiplomaticPost:NewDelhi-8118,2025-01-15T16:30:00.000-05:00,pm25,µg/m³,145.0
USDiplomaticPost:NewDelhi-8118,2025-01-16T00:30:00.000-05:00,pm25,µg/m³,159.0
USDiplomaticPost:NewDelhi-8118,2025-01-16T01:30:00.000-05:00,pm25,µg/m³,124.0
USDiplomaticPost:NewDelhi-8118,2025-01-16T09:30:00.000-05:00,pm25,µg/m³,175.0
USDiplomaticPost:NewDelhi-8118,2025-01-16T02:30:00.000-05:00,pm25,µg/m³,121.0
USDiplomaticPost:NewDelhi-8118,2025-01-16T10:30:00.000-05:00,pm25,µg/m³,227.0
USDiplomaticPost:NewDelhi-8118,2025-01-16T03:30:00.000-05:00,pm25,µg/m³,101.0
USDiplomaticPost:NewDelhi-8118,2025-01-16T11:30:00.000-05:00,pm25,µg/m³,277.0
USDiplomaticPost:NewDelhi-8118,2025-01-16T04:30:00.000-05:00,pm25,µg/m³,105.0
USDiplomaticPost:NewDelhi-8118,2025-01-16T12:30:00.000-05:00,pm25,µg/m³,311.0
USDiplomaticPost:NewDelhi-8118,2025-01-16T13:30:00.000-05:00,pm25,µg/m³,310.0
USDiplomaticPost:NewDelhi-8118,2025-01-16T20:30:00.000-05:00,pm25,µg/m³,118.0
USDiplomaticPost:NewDelhi-8118,2025-01-16T21:30:00.000-05:00,pm25,µg/m³,126.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T05:30:00.000-05:00,pm25,µg/m³,108.0
USDiplomaticPost:NewDelhi-8118,2025-01-16T22:30:00.000-05:00,pm25,µg/m³,138.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T06:30:00.000-05:00,pm25,µg/m³,119.0
USDiplomaticPost:NewDelhi-8118,2025-01-16T23:30:00.000-05:00,pm25,µg/m³,157.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T07:30:00.000-05:00,pm25,µg/m³,128.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T08:30:00.000-05:00,pm25,µg/m³,140.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T15:30:00.000-05:00,pm25,µg/m³,153.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T09:30:00.000-05:00,pm25,µg/m³,170.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T16:30:00.000-05:00,pm25,µg/m³,137.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T10:30:00.000-05:00,pm25,µg/m³,161.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T17:30:00.000-05:00,pm25,µg/m³,131.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T11:30:00.000-05:00,pm25,µg/m³,144.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T18:30:00.000-05:00,pm25,µg/m³,125.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T12:30:00.000-05:00,pm25,µg/m³,142.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T19:30:00.000-05:00,pm25,µg/m³,122.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T13:30:00.000-05:00,pm25,µg/m³,130.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T20:30:00.000-05:00,pm25,µg/m³,120.0
USDiplomaticPost:NewDelhi-8118,2025-01-17T21:30:00.000-05:00,pm25,µg/m³,113.0
