features,pm25,AQI_Category
"[38.0,21.6,48.75,0.0,-5.5,38.0,12.0]",38.0,Good
"[38.0,27.1,53.8,0.0,10.55,37.833333333333336,12.0]",38.0,Good
"[38.5,17.6,40.3,2.5,-7.899999999999999,38.5,10.0]",41.0,Good
"[38.5,22.15,76.35,-7.5,-10.450000000000003,38.5,8.0]",31.0,Good
"[39.0,15.4,82.9,-4.0,-6.4,38.0,12.0]",35.0,Good
"[39.0,33.6,69.3,2.5,5.399999999999999,39.0,12.0]",41.5,Good
"[39.5,17.1,59.45,-3.5,8.400000000000002,39.5,9.0]",36.0,Good
"[40.0,17.0,65.65,-3.0,9.7,40.0,11.0]",37.0,Good
"[40.0,21.8,64.9,-1.0,-6.399999999999999,40.0,11.0]",39.0,Good
"[41.0,9.7,37.2,-1.5,-7.900000000000002,39.666666666666664,11.0]",39.5,Good
"[41.0,17.9,30.8,4.0,-6.149999999999999,42.666666666666664,11.0]",45.0,Good
"[41.0,18.95,66.8,3.0,-3.5500000000000007,41.0,12.0]",44.0,Good
"[41.0,20.8,52.8,-5.0,-3.0500000000000007,41.333333333333336,10.0]",36.0,Good
"[41.0,28.2,46.9,-1.0,7.25,40.833333333333336,11.0]",40.0,Good
"[41.5,20.95,55.95,-0.5,7.25,41.5,10.0]",41.0,Good
"[42.0,13.7,65.0,-0.5,-8.75,39.333333333333336,10.0]",41.5,Good
"[43.0,6.3,36.3,1.0,-3.45,44.0,8.0]",44.0,Good
"[43.0,8.7,75.5,-3.5,-9.849999999999998,45.5,9.0]",39.5,Good
"[43.0,16.15,48.400000000000006,7.0,-10.75,43.0,12.0]",50.0,Good
"[43.0,30.2,68.8,-1.0,8.7,43.0,10.0]",42.0,Good
"[44.0,9.55,34.45,1.0,3.250000000000001,44.0,8.0]",45.0,Good
"[44.0,10.6,30.8,13.5,-8.9,46.333333333333336,14.0]",57.5,Moderate
"[44.0,15.4,80.2,5.5,-3.549999999999999,44.833333333333336,13.0]",49.5,Good
"[44.0,19.6,66.9,8.5,-7.0,46.0,13.0]",52.5,Moderate
"[44.0,21.5,50.7,-1.0,8.7,44.0,9.0]",43.0,Good
"[44.0,28.8,67.25,10.0,-5.400000000000002,44.0,13.0]",54.0,Moderate
"[45.0,12.8,32.6,-1.0,3.25,44.333333333333336,9.0]",44.0,Good
"[45.0,13.6,32.3,4.0,-4.299999999999999,45.0,11.0]",49.0,Good
"[45.5,15.700000000000001,41.95,-2.5,-8.4,45.5,10.0]",43.0,Good
"[46.0,32.6,77.8,-7.5,3.3000000000000007,48.5,8.0]",38.5,Good
"[47.0,13.2,37.9,-2.0,-10.849999999999998,47.333333333333336,7.0]",45.0,Good
"[47.0,23.85,44.0,-6.0,-3.049999999999997,47.0,9.0]",41.0,Good
"[48.0,5.1,47.3,3.5,-0.20000000000000018,51.666666666666664,9.0]",51.5,Moderate
"[48.0,23.7,85.0,0.0,-3.3000000000000007,51.5,9.0]",48.0,Good
"[48.0,23.9,58.8,0.0,0.1999999999999993,48.0,9.0]",48.0,Good
"[48.0,24.1,32.6,-2.5,0.20000000000000284,47.166666666666664,10.0]",45.5,Good
"[49.0,9.3,33.8,1.5,-4.299999999999999,48.166666666666664,12.0]",50.5,Moderate
"[49.0,9.850000000000001,87.44999999999999,7.0,-3.4499999999999993,49.0,11.0]",56.0,Moderate
"[49.5,22.7,58.6,5.5,7.299999999999999,49.5,13.0]",55.0,Moderate
"[50.0,24.049999999999997,36.3,-3.0,-10.850000000000001,50.0,6.0]",47.0,Good
"[50.0,25.4,36.0,12.0,4.699999999999999,54.5,11.0]",62.0,Moderate
"[50.5,11.05,60.8,1.5,1.75,50.5,12.0]",52.0,Moderate
"[51.0,29.1,47.3,2.5,1.0,53.0,12.0]",53.5,Moderate
"[51.5,14.100000000000001,42.3,3.5,9.000000000000002,51.5,9.0]",55.0,Moderate
"[51.5,20.7,35.75,-1.5,4.699999999999999,51.5,10.0]",50.0,Good
"[52.0,12.8,87.8,6.5,1.75,53.666666666666664,13.0]",58.5,Moderate
"[52.0,27.8,70.0,12.5,-0.5500000000000007,57.333333333333336,13.0]",64.5,Moderate
"[52.0,33.8,53.5,3.5,5.199999999999999,54.166666666666664,11.0]",55.5,Moderate
"[52.5,26.25,59.550000000000004,8.5,6.649999999999999,52.5,13.0]",61.0,Moderate
"[53.0,16.0,35.5,-1.5,-0.14999999999999858,52.833333333333336,10.0]",51.5,Moderate
"[53.0,20.0,45.8,-9.5,-0.3999999999999986,50.333333333333336,9.0]",43.5,Good
"[53.0,26.9,35.2,-6.0,-3.5,52.5,9.0]",47.0,Good
"[53.0,34.9,34.7,-3.0,0.05000000000000426,53.0,6.0]",50.0,Good
"[53.5,19.15,60.05,2.5,-9.950000000000003,53.5,12.0]",56.0,Moderate
"[54.0,16.15,40.8,-1.0,-0.15000000000000213,54.0,9.0]",53.0,Moderate
"[54.0,18.549999999999997,65.55,-11.0,-9.850000000000001,54.0,8.0]",43.0,Good
"[54.0,23.4,73.1,23.0,-5.400000000000002,58.333333333333336,14.0]",77.0,Moderate
"[54.0,23.4,76.4,-12.0,-10.100000000000001,54.0,10.0]",42.0,Good
"[54.0,25.9,66.5,46.0,-4.400000000000002,54.0,7.0]",100.0,Moderate
"[54.5,20.4,41.9,-1.5,-0.40000000000000213,54.5,8.0]",53.0,Moderate
"[54.5,28.1,41.4,-3.5,1.0,54.5,11.0]",51.0,Moderate
"[55.0,23.1,37.3,2.0,9.0,54.5,10.0]",57.0,Moderate
"[55.0,28.599999999999998,63.15,-3.0,5.199999999999999,55.0,10.0]",52.0,Moderate
"[55.0,30.0,37.0,21.0,7.300000000000001,60.166666666666664,14.0]",76.0,Moderate
"[55.5,5.3,50.849999999999994,-7.5,-0.20000000000000018,55.5,8.0]",48.0,Good
"[55.5,28.35,65.85,-3.5,-0.5499999999999972,55.5,12.0]",52.0,Moderate
"[55.5,31.349999999999998,57.6,3.5,-2.4499999999999993,55.5,11.0]",59.0,Moderate
"[56.0,6.4,88.1,1.0,-3.450000000000001,54.0,12.0]",57.0,Moderate
"[56.0,9.2,72.8,11.0,-9.95,58.833333333333336,13.0]",67.0,Moderate
"[56.0,20.8,38.0,-1.5,3.8000000000000007,57.333333333333336,8.0]",54.5,Moderate
"[56.0,21.8,83.1,1.0,7.800000000000001,57.666666666666664,9.0]",57.0,Moderate
"[56.0,25.75,72.15,-9.0,7.449999999999999,56.0,6.0]",47.0,Good
"[57.0,12.149999999999999,79.55,1.0,5.749999999999998,57.0,12.0]",58.0,Moderate
"[57.0,17.6,85.5,6.5,-5.899999999999999,61.333333333333336,11.0]",63.5,Moderate
"[57.0,22.6,77.94999999999999,1.0,0.8000000000000007,57.0,9.0]",58.0,Moderate
"[58.0,17.9,71.0,22.5,5.75,65.16666666666667,13.0]",80.5,Moderate
"[58.0,23.4,72.8,-3.0,0.7999999999999972,56.666666666666664,10.0]",55.0,Moderate
"[58.0,27.1,35.5,-3.5,5.700000000000003,58.166666666666664,11.0]",54.5,Moderate
"[58.5,9.8,63.75,6.5,-3.0,58.5,13.0]",65.0,Moderate
"[58.5,19.099999999999998,52.65,8.5,13.699999999999998,58.5,13.0]",67.0,Moderate
"[58.5,27.0,68.9,-10.5,-3.3000000000000007,58.5,8.0]",48.0,Good
"[59.0,28.9,61.7,-3.5,-2.4499999999999993,56.666666666666664,12.0]",55.5,Moderate
"[59.0,31.4,76.2,1.0,4.149999999999999,58.666666666666664,11.0]",60.0,Moderate
"[59.0,34.8,68.7,-3.0,3.299999999999997,59.666666666666664,5.0]",56.0,Moderate
"[60.0,14.0,52.7,2.0,-5.350000000000001,62.5,10.0]",62.0,Moderate
"[60.0,30.35,80.95,1.0,-1.0499999999999972,60.0,11.0]",61.0,Moderate
"[61.0,29.3,72.4,-15.0,3.3000000000000007,61.0,7.0]",46.0,Good
"[61.0,29.3,85.7,1.5,-1.0500000000000007,61.166666666666664,12.0]",62.5,Moderate
"[61.0,32.9,52.2,11.5,6.649999999999999,62.0,14.0]",72.5,Moderate
"[61.5,17.0,55.25,-5.5,3.8000000000000007,61.5,7.0]",56.0,Moderate
"[62.0,9.9,50.8,2.0,-4.1,62.0,10.0]",64.0,Moderate
"[62.0,21.4,39.85,-4.0,5.699999999999999,62.0,10.0]",58.0,Moderate
"[62.0,29.65,60.1,12.0,4.25,62.0,11.0]",74.0,Moderate
"[62.0,33.9,89.4,-4.5,10.899999999999999,63.0,8.0]",57.5,Moderate
"[62.5,22.8,66.15,1.5,-6.5,62.5,12.0]",64.0,Moderate
"[63.0,5.5,54.4,-7.5,-6.65,62.0,8.0]",55.5,Moderate
"[63.0,5.7,72.8,3.0,-2.6000000000000005,65.0,3.0]",66.0,Moderate
"[63.5,18.1,58.3,6.5,0.5,63.5,11.0]",70.0,Moderate
"[63.5,23.5,65.8,-6.5,-5.899999999999999,63.5,10.0]",57.0,Moderate
"[64.0,5.8,48.9,3.0,-4.1000000000000005,64.33333333333333,11.0]",67.0,Moderate
"[64.0,6.2,56.1,-4.0,-10.3,65.83333333333333,8.0]",60.0,Moderate
"[64.0,16.3,46.6,4.0,-6.5,64.83333333333333,13.0]",68.0,Moderate
"[64.0,31.5,55.95,-5.0,3.3000000000000007,64.0,4.0]",59.0,Moderate
"[64.5,21.1,63.3,12.5,-6.699999999999999,64.5,13.0]",77.0,Moderate
"[65.0,6.8,39.7,27.0,-3.000000000000001,71.83333333333333,14.0]",92.0,Moderate
"[65.0,18.3,56.1,-9.0,-7.7499999999999964,64.33333333333333,6.0]",56.0,Moderate
"[65.0,29.3,30.0,8.5,10.25,68.33333333333333,18.0]",73.5,Moderate
"[65.5,19.35,53.150000000000006,-5.5,-5.349999999999998,65.5,9.0]",60.0,Moderate
"[66.0,8.3,80.6,-3.0,-2.5999999999999996,66.0,2.0]",63.0,Moderate
"[66.0,15.7,44.2,-4.0,4.1,64.83333333333333,10.0]",62.0,Moderate
"[66.0,16.95,58.0,3.0,11.25,66.0,3.0]",69.0,Moderate
"[66.0,21.4,51.9,10.0,1.3500000000000014,70.0,12.0]",76.0,Moderate
"[66.0,33.5,66.0,-12.0,5.100000000000001,62.833333333333336,10.0]",54.0,Moderate
"[66.5,19.05,34.85,-1.5,10.25,66.5,17.0]",65.0,Moderate
"[67.0,7.5,46.3,-0.5,0.6500000000000004,67.66666666666667,9.0]",66.5,Moderate
"[67.0,13.2,72.5,-5.5,2.5,65.5,7.0]",61.5,Moderate
"[67.0,21.700000000000003,64.25,11.0,12.500000000000004,67.0,13.0]",78.0,Moderate
"[67.0,32.8,70.6,11.0,13.7,67.83333333333333,14.0]",78.0,Moderate
"[67.5,12.15,68.55,-4.5,-6.65,67.5,7.0]",63.0,Moderate
"[68.0,10.7,69.65,-1.0,2.5,68.0,6.0]",67.0,Moderate
"[68.0,16.6,41.900000000000006,4.0,0.3000000000000007,68.0,13.0]",72.0,Moderate
"[68.5,28.4,60.0,-2.5,5.099999999999998,68.5,9.0]",66.0,Moderate
"[69.0,6.5,43.1,4.5,-6.699999999999999,74.16666666666667,22.0]",73.5,Moderate
"[69.0,8.2,66.8,-1.0,-9.150000000000002,70.83333333333333,6.0]",68.0,Moderate
"[69.0,10.9,88.4,-3.0,-0.34999999999999964,68.83333333333333,2.0]",66.0,Moderate
"[69.0,28.2,43.2,-5.0,11.25,66.33333333333333,4.0]",64.0,Moderate
"[69.0,30.3,52.8,-10.5,6.349999999999998,70.16666666666667,8.0]",58.5,Moderate
"[69.5,6.85,40.25,-2.5,0.6499999999999995,69.5,8.0]",67.0,Moderate
"[69.5,23.0,79.2,-7.5,10.9,69.5,7.0]",62.0,Moderate
"[70.0,18.6,31.1,5.0,0.5,69.5,12.0]",75.0,Moderate
"[70.0,18.7,70.5,-2.0,2.8999999999999986,71.16666666666667,11.0]",68.0,Moderate
"[70.0,29.4,46.1,-6.5,11.5,71.0,10.0]",63.5,Moderate
"[70.0,31.8,85.7,2.0,-1.0500000000000007,71.33333333333333,13.0]",72.0,Moderate
"[71.0,19.2,50.1,2.0,4.300000000000001,67.16666666666667,15.0]",73.0,Moderate
"[71.0,23.3,54.0,-2.5,-2.099999999999998,71.33333333333333,9.0]",68.5,Moderate
"[71.0,24.7,53.6,-5.5,-1.5500000000000007,74.16666666666667,9.0]",65.5,Moderate
"[71.5,11.25,76.25,-2.5,-0.34999999999999964,71.5,1.0]",69.0,Moderate
"[72.0,6.2,34.2,-2.5,-13.950000000000003,77.66666666666667,8.0]",69.5,Moderate
"[72.0,16.9,37.2,7.0,0.29999999999999716,73.0,14.0]",79.0,Moderate
"[72.0,18.8,82.7,-4.5,-3.25,77.0,7.0]",67.5,Moderate
"[72.0,20.3,73.15,2.0,-11.5,72.0,13.0]",74.0,Moderate
"[72.0,26.049999999999997,58.0,-7.0,-7.75,72.0,5.0]",65.0,Moderate
"[72.0,30.15,67.05,-64.0,0.14999999999999858,72.0,6.0]",8.0,Good
"[72.0,32.85,84.95,-2.0,-1.0499999999999972,72.0,12.0]",70.0,Moderate
"[72.5,22.65,68.85,11.5,-10.25,72.5,14.0]",84.0,Moderate
"[73.0,20.6,54.05,2.0,1.4000000000000021,73.0,15.0]",75.0,Moderate
"[73.5,10.05,42.5,4.5,3.5500000000000007,73.5,22.0]",78.0,Moderate
"[73.5,16.5,45.95,-9.5,-10.3,73.5,7.0]",64.0,Moderate
"[73.5,23.35,54.3,8.5,-5.949999999999999,73.5,18.0]",82.0,Moderate
"[74.0,8.8,60.6,15.0,-11.5,78.33333333333333,14.0]",89.0,Moderate
"[74.0,11.6,64.1,-2.5,-8.700000000000001,74.0,1.0]",71.5,Moderate
"[74.5,25.4,69.15,-3.5,-2.1000000000000014,74.5,8.0]",71.0,Moderate
"[75.0,20.450000000000003,38.35,5.0,1.8500000000000014,75.0,12.0]",80.0,Moderate
"[75.0,22.0,58.0,-3.5,1.3999999999999986,73.16666666666667,16.0]",71.5,Moderate
"[75.5,15.8,56.45,-5.5,2.9000000000000004,75.5,10.0]",70.0,Moderate
"[75.5,17.35,68.5,-6.5,-9.149999999999999,75.5,5.0]",69.0,Moderate
"[75.5,18.45,39.0,5.5,-11.350000000000001,75.5,12.0]",81.0,Moderate
"[76.0,17.85,35.15,21.0,-12.149999999999999,76.0,14.0]",97.0,Moderate
"[76.0,26.0,67.0,-15.0,9.100000000000001,75.5,7.0]",61.0,Moderate
"[76.5,20.3,58.05,-2.5,-8.7,76.5,0.0]",74.0,Moderate
"[77.0,10.9,60.9,3.0,-1.3499999999999996,78.16666666666667,0.0]",80.0,Moderate
"[77.0,12.1,69.0,-7.5,-5.750000000000002,77.66666666666667,7.0]",69.5,Moderate
"[77.0,14.4,56.6,14.5,-6.700000000000001,77.66666666666667,14.0]",91.5,Moderate
"[77.0,15.5,61.599999999999994,23.0,-7.899999999999999,77.0,14.0]",100.0,Moderate
"[77.5,12.25,51.4,-0.5,-1.3499999999999996,77.5,23.0]",77.0,Moderate
"[77.5,18.9,48.5,-22.5,-2.6000000000000014,77.5,8.0]",55.0,Moderate
"[78.0,13.6,41.9,-0.5,3.549999999999999,76.33333333333333,23.0]",77.5,Moderate
"[78.0,27.5,84.3,-3.5,1.3000000000000007,77.83333333333333,8.0]",74.5,Moderate
"[78.0,32.95,72.85,11.0,0.15000000000000568,78.0,14.0]",89.0,Moderate
"[78.0,34.2,55.7,18.5,12.5,80.5,14.0]",96.5,Moderate
"[78.5,21.75,73.6,1.5,2.4499999999999993,78.5,18.0]",80.0,Moderate
"[79.0,11.549999999999999,34.2,7.0,-5.35,79.0,14.0]",86.0,Moderate
"[79.0,12.5,81.0,1.5,0.6500000000000004,79.66666666666667,3.0]",80.5,Moderate
"[79.0,29.0,52.0,-2.5,8.0,79.5,0.0]",76.5,Moderate
"[79.0,33.8,59.9,-7.0,3.799999999999997,78.0,5.0]",72.0,Moderate
"[79.5,11.85,66.6,-0.5,0.6500000000000004,79.5,2.0]",79.0,Moderate
"[79.5,17.9,61.400000000000006,-9.5,11.499999999999998,79.5,9.0]",70.0,Moderate
"[80.0,11.2,52.2,-0.5,-8.099999999999998,81.66666666666667,2.0]",79.5,Moderate
"[80.0,11.25,56.25,3.0,0.34999999999999964,80.0,0.0]",83.0,Moderate
"[80.0,12.4,30.4,0.5,2.0999999999999996,83.33333333333333,8.0]",80.5,Moderate
"[80.0,13.2,51.5,-11.0,-6.699999999999999,80.0,21.0]",69.0,Moderate
"[80.0,22.3,45.6,12.0,1.8499999999999979,82.33333333333333,13.0]",92.0,Moderate
"[80.0,24.2,57.4,7.5,2.4499999999999993,82.0,19.0]",87.5,Moderate
"[80.5,19.65,58.4,1.5,7.149999999999999,80.5,3.0]",82.0,Moderate
"[80.5,21.45,61.65,22.5,3.5500000000000007,80.5,13.0]",103.0,Unhealthy
"[80.5,26.7,65.5,2.5,-3.6999999999999993,80.5,3.0]",83.0,Moderate
"[81.0,7.0,47.2,0.0,-2.6999999999999993,80.83333333333333,9.0]",81.0,Moderate
"[81.0,7.1,43.9,5.5,-11.35,81.0,13.0]",86.5,Moderate
"[81.0,9.95,44.8,0.0,2.9499999999999993,81.0,9.0]",81.0,Moderate
"[81.0,12.9,42.4,-5.5,2.950000000000001,79.16666666666667,10.0]",75.5,Moderate
"[81.0,26.2,62.5,-3.0,1.3000000000000007,81.0,7.0]",78.0,Moderate
"[82.0,8.3,50.6,3.0,-8.55,84.0,20.0]",85.0,Moderate
"[82.0,17.4,78.6,11.0,-5.950000000000003,82.83333333333333,19.0]",93.0,Moderate
"[82.0,26.5,70.2,-6.5,1.75,80.0,5.0]",75.5,Moderate
"[82.0,26.8,35.8,1.5,7.150000000000002,82.0,4.0]",83.5,Moderate
"[82.0,33.0,81.0,2.5,3.6499999999999986,83.33333333333333,11.0]",84.5,Moderate
"[83.0,11.6,51.6,3.0,0.34999999999999964,83.0,1.0]",86.0,Moderate
"[83.0,21.0,48.05,-4.0,8.0,83.0,23.0]",79.0,Moderate
"[83.0,23.0,70.2,-0.5,-3.6999999999999993,82.0,4.0]",82.5,Moderate
"[83.0,23.950000000000003,63.6,-14.0,6.350000000000001,83.0,7.0]",69.0,Moderate
"[83.0,26.8,35.8,-9.5,10.7,80.5,7.0]",73.5,Moderate
"[83.0,31.4,42.1,2.0,11.600000000000001,84.0,3.0]",85.0,Moderate
"[83.5,23.15,55.4,1.5,-3.650000000000002,83.5,4.0]",85.0,Moderate
"[83.5,29.35,70.95,-1.5,3.650000000000002,83.5,10.0]",82.0,Moderate
"[84.0,12.4,85.5,3.0,-10.249999999999998,81.16666666666667,15.0]",87.0,Moderate
"[84.0,24.9,40.7,-3.0,3.549999999999997,84.5,7.0]",81.0,Moderate
"[84.0,32.2,80.5,29.0,1.3000000000000007,99.16666666666667,7.0]",113.0,Unhealthy
"[84.5,21.1,77.9,2.5,-11.899999999999999,84.5,11.0]",87.0,Moderate
"[85.0,8.2,34.1,-1.0,-12.150000000000002,86.0,2.0]",84.0,Moderate
"[85.0,15.8,68.9,3.0,7.5,85.0,20.0]",88.0,Moderate
"[85.0,16.1,57.25,-2.0,10.700000000000001,85.0,6.0]",83.0,Moderate
"[85.0,16.85,55.45,-3.0,-8.549999999999997,85.0,19.0]",82.0,Moderate
"[85.0,17.05,62.25,-8.0,2.25,85.0,17.0]",77.0,Moderate
"[85.0,19.5,75.0,1.0,-3.6499999999999986,84.83333333333333,5.0]",86.0,Moderate
"[85.0,25.7,60.9,-1.5,9.8,87.33333333333333,10.0]",83.5,Moderate
"[85.0,28.799999999999997,54.599999999999994,2.0,-2.6000000000000014,85.0,3.0]",87.0,Moderate
"[85.5,19.299999999999997,70.55000000000001,-5.5,-8.100000000000001,85.5,1.0]",80.0,Moderate
"[86.0,6.2,31.2,12.5,-5.349999999999999,87.83333333333333,15.0]",98.5,Moderate
"[86.0,9.7,61.75,3.0,-1.9000000000000004,86.0,1.0]",89.0,Moderate
"[86.0,10.0,39.0,15.5,-5.699999999999999,87.83333333333333,13.0]",101.5,Unhealthy
"[86.0,12.45,76.85,1.0,-7.050000000000001,86.0,5.0]",87.0,Moderate
"[86.0,18.2,81.25,2.0,10.6,86.0,2.0]",88.0,Moderate
"[86.0,26.25,56.95,-15.0,-1.5500000000000007,86.0,8.0]",71.0,Moderate
"[86.5,16.1,63.650000000000006,5.5,9.000000000000002,86.5,13.0]",92.0,Moderate
"[87.0,5.4,78.7,-2.0,-7.049999999999999,86.0,6.0]",85.0,Moderate
"[87.0,9.2,74.8,6.5,-11.900000000000002,88.33333333333333,12.0]",93.5,Moderate
"[87.0,23.8,61.4,6.0,2.5500000000000007,90.33333333333333,21.0]",93.0,Moderate
"[87.0,26.2,67.1,-4.0,-2.599999999999998,85.0,4.0]",83.0,Moderate
"[87.5,21.45,67.3,7.5,-2.75,87.5,19.0]",95.0,Moderate
"[88.0,23.3,87.2,0.5,7.5,87.16666666666667,21.0]",88.5,Moderate
"[88.0,28.8,81.5,9.0,10.600000000000001,90.33333333333333,3.0]",97.0,Moderate
"[88.5,10.5,75.4,0.5,-4.1,88.5,8.0]",89.0,Moderate
"[88.5,10.55,43.45,-1.5,2.450000000000001,88.5,22.0]",87.0,Moderate
"[88.5,21.35,45.05,-4.5,3.5500000000000007,88.5,6.0]",84.0,Moderate
"[88.5,23.3,69.85,0.5,0.0,88.5,21.0]",89.0,Moderate
"[89.0,6.4,76.7,-9.5,-4.1,85.66666666666667,9.0]",79.5,Moderate
"[89.0,7.8,71.9,-5.5,-1.8999999999999995,86.16666666666667,2.0]",83.5,Moderate
"[89.0,20.35,43.650000000000006,-4.0,-12.149999999999999,89.0,1.0]",85.0,Moderate
"[89.0,21.9,57.5,15.0,13.099999999999998,89.0,14.0]",104.0,Unhealthy
"[89.0,23.3,52.5,2.5,0.0,89.66666666666667,22.0]",91.5,Moderate
"[89.0,33.1,75.1,18.5,0.14999999999999858,91.5,15.0]",107.5,Unhealthy
"[89.5,16.9,75.0,-13.5,9.099999999999998,89.5,6.0]",76.0,Moderate
"[89.5,23.3,58.599999999999994,76.5,7.300000000000001,89.5,6.0]",166.0,Unhealthy
"[90.0,8.1,42.8,-1.5,-1.299999999999999,89.5,22.0]",88.5,Moderate
"[90.0,9.399999999999999,42.7,0.0,-1.3000000000000007,90.0,21.0]",90.0,Moderate
"[90.0,10.7,42.6,0.0,2.0,92.16666666666667,21.0]",90.0,Moderate
"[90.0,19.2,47.9,5.5,-1.5999999999999979,94.66666666666667,7.0]",95.5,Moderate
"[90.0,21.0,72.6,0.5,-5.5,90.83333333333333,0.0]",90.5,Moderate
"[90.0,29.6,33.4,1.5,8.600000000000001,89.5,16.0]",91.5,Moderate
"[90.5,24.2,80.75,0.5,3.1999999999999993,90.5,0.0]",91.0,Moderate
"[90.5,26.15,57.85,-25.5,2.25,90.5,7.0]",65.0,Moderate
"[91.0,7.5,71.45,-7.0,0.09999999999999964,91.0,1.0]",84.0,Moderate
"[91.0,19.5,42.0,1.5,4.75,91.66666666666667,19.0]",92.5,Moderate
"[91.0,19.9,59.9,-11.0,-3.3500000000000014,89.5,21.0]",80.0,Moderate
"[91.0,21.25,69.3,-4.0,2.5500000000000007,91.0,20.0]",87.0,Moderate
"[91.0,27.4,88.9,-5.5,3.1999999999999993,89.0,1.0]",85.5,Moderate
"[91.5,14.75,42.6,-0.5,4.75,91.5,18.0]",91.0,Moderate
"[91.5,20.150000000000002,60.65,-19.5,-13.95,91.5,7.0]",72.0,Moderate
"[91.5,22.05,85.45,-19.5,-3.25,91.5,6.0]",72.0,Moderate
"[91.5,22.200000000000003,34.05,1.5,-7.399999999999999,91.5,16.0]",93.0,Moderate
"[91.5,23.2,65.4,14.5,8.799999999999999,91.5,14.0]",106.0,Unhealthy
"[91.5,27.65,48.55,2.5,4.349999999999998,91.5,22.0]",94.0,Moderate
"[92.0,10.0,43.2,-0.5,-1.3000000000000007,93.0,18.0]",91.5,Moderate
"[92.0,14.35,44.1,-1.0,4.15,92.0,17.0]",91.0,Moderate
"[92.0,17.7,55.7,27.0,10.899999999999999,92.0,14.0]",119.0,Unhealthy
"[92.0,25.0,76.3,0.5,2.3000000000000007,93.83333333333333,5.0]",92.5,Moderate
"[92.0,25.1,83.4,18.0,9.0,96.16666666666667,14.0]",110.0,Unhealthy
"[92.5,16.1,50.6,1.5,-3.3999999999999986,92.5,19.0]",94.0,Moderate
"[92.5,21.4,62.849999999999994,0.5,-3.6000000000000014,92.5,5.0]",93.0,Moderate
"[93.0,9.1,51.3,3.0,-4.700000000000001,95.5,22.0]",96.0,Moderate
"[93.0,10.2,37.7,-1.0,-8.0,95.33333333333333,17.0]",92.0,Moderate
"[93.0,11.4,50.9,2.5,-0.9500000000000011,96.16666666666667,16.0]",95.5,Moderate
"[93.0,14.8,34.7,-8.0,-7.400000000000002,89.83333333333333,17.0]",85.0,Moderate
"[93.0,17.8,49.4,-4.5,-3.599999999999998,91.33333333333333,6.0]",88.5,Moderate
"[93.0,22.0,75.65,11.0,4.600000000000001,93.0,19.0]",104.0,Unhealthy
"[93.0,32.5,53.2,-4.0,10.8,92.5,1.0]",89.0,Moderate
"[93.5,15.899999999999999,64.15,-8.5,9.799999999999999,93.5,9.0]",85.0,Moderate
"[93.5,21.950000000000003,69.8,6.5,12.750000000000004,93.5,12.0]",100.0,Moderate
"[94.0,12.1,79.7,20.0,3.3499999999999996,121.5,11.0]",114.0,Unhealthy
"[94.0,12.7,59.2,4.0,-3.400000000000002,94.83333333333333,20.0]",98.0,Moderate
"[94.0,32.0,44.6,-2.0,4.350000000000001,92.5,23.0]",92.0,Moderate
"[94.0,33.9,83.9,0.5,17.5,109.66666666666667,9.0]",94.5,Moderate
"[94.5,16.4,81.4,0.0,-17.5,94.33333333333333,10.0]",94.5,Moderate
"[94.5,26.1,83.9,0.5,9.700000000000003,94.66666666666667,10.0]",95.0,Moderate
